sakai_id,ind_tiene_contenido,ind_entrega_tarea,ind_tiene_notificaciones,ind_notificaciones_mail,ind_tiene_mensajes,ind_lee_mensajes,ind_activ_nuevo_mensaje,ind_activ_respuesta_mensaje,ind_usa_imagen_oficial,ind_mostrar_feed,ind_status_online,ind_notificac_examen,ind_notificac_tareas,ind_conexion,num_total_visitas,ind_al_menos_un_aprobado,ind_todo_aprobado
06c25e70-04c2-40ca-baf2-aefe7165b760,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,0
05e62c7b-bfdc-4f4a-af24-ecff1bec49d8,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,1
08f16374-e976-4d65-9114-0e31053ae8e3,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
1396266d-1b13-4655-a221-603642f2af91,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,1,0
15223239-785f-4a9b-aba6-5d7363a4b990,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,1
0e9dbe20-4a55-4b88-93b1-d4de136d710c,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,1,1
0c767fd5-4c03-480a-a370-c654c915ce44,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,0
0b303fd1-3643-49df-bfed-a75185f933a3,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,0
0b4e13b6-4d8e-4a43-b139-826603f1c772,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,1,0
06e2cb15-0794-4449-ba71-647ff1908193,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,0
02025464-e5b1-48bb-9464-ed3a902b9402,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,0
0c67f7a6-41b1-412e-9d0e-675fde70404f,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,1
08050633-6759-4f1d-9218-fd5ce522553d,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,0
0c201397-3de5-40d4-b6e9-6ce2b09bf659,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
0bfa7955-cd30-4753-80c2-db5d7ff9d27f,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,0
02696a0f-c8fa-4d31-81be-69b151d22508,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,0
02af00c4-99f2-4aa3-865e-f93d3e1a7663,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,0
03823a48-a179-4327-b61a-b66e462539aa,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,1
04afdd13-3ad4-46cf-a450-9e05a73c6786,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,0
06a21c84-00de-4434-90d6-df96aae7d2dd,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,1,1
1090dc1a-549e-43d2-98cd-6a364b187204,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,0
137ac097-d466-4aba-90d0-e0295fecaa52,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,1,1
1538e6c7-9310-4a65-a5c5-5e745ad33766,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,0
154af6d0-7e2b-41a1-bde1-5682f908ce5d,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5,1,1
14e46a62-ccec-4646-a6ec-5ac726453f12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,1,0
0633b3dd-9943-4c52-ac7d-b7e671b63ad1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,1
082dc358-d0de-4a34-91bd-8e8b38c68f7d,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,0
08179909-79c1-4181-8422-61f7ecabde85,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,0
